elements,formula,Predicted_Tc
Bi-In-Ag,Bi0.721In0.269Ag0.010,5.817718611
Bi-In-Sb,Bi0.768In0.216Sb0.016,5.816149722
Ga-Bi-Cu,Ga0.310Bi0.686Cu0.004,5.813121688
Ga-Ag-Sb,Ga0.829Sb0.171,5.809166709
Ga-Zn-Sb,Ga0.822Zn0.110Sb0.068,5.808969034
Bi-In-Sb,Bi0.751In0.243Sb0.006,5.807136389
Ga-Bi-Sb,Ga0.829Bi0.003Sb0.168,5.806796966
Bi-Zn-Ag,Bi0.930Zn0.037Ag0.033,5.8039625
Ga-Zn-Sb,Ga0.870Zn0.066Sb0.064,5.80005015
Ga-Sn-Zn,Ga0.858Sn0.094Zn0.048,5.799364957
Bi-In-Ag,Bi0.843In0.105Ag0.052,5.7984125
Bi-In-Sb,Bi0.741In0.252Sb0.007,5.798071389
Ga-Zn-Sb,Ga0.838Zn0.003Sb0.159,5.793198077
Bi-In-Sb,Bi0.898In0.084Sb0.018,5.791682778
Ga-Sn-Ag,Ga0.817Sn0.176Ag0.007,5.790987073
Ga-Bi-Sb,Ga0.288Bi0.701Sb0.011,5.789952521
Ga-Bi-Sb,Ga0.091Bi0.889Sb0.020,5.779523996
Ga-Bi-Sb,Ga0.821Bi0.026Sb0.153,5.778907286
Ga-Zn,Ga0.817Zn0.183,5.778752795
Ga-Zn,Ga0.817Zn0.183,5.778752795
Ga-Zn,Ga0.817Zn0.183,5.778752795
Ga-Zn,Ga0.816Zn0.184,5.778752795
Ga-Zn,Ga0.816Zn0.184,5.778752795
Ga-Zn,Ga0.817Zn0.183,5.778752795
Ga-Sn-Zn,Ga0.893Sn0.034Zn0.073,5.778255256
Ga-Sn-Zn,Ga0.805Sn0.164Zn0.031,5.776993611
Bi-In-Cu,Bi0.816In0.118Cu0.066,5.774342222
Ga-Zn,Ga0.921Zn0.079,5.774234957
Bi-Ag-Cu,Bi0.950Ag0.029Cu0.021,5.772366667
Ga-Sn-Zn,Ga0.832Sn0.111Zn0.057,5.770917607
Bi-In-Cu,Bi0.853In0.088Cu0.059,5.7701175
Bi-In-Cu,Bi0.862In0.108Cu0.030,5.768872778
Ga-Zn,Ga0.815Zn0.185,5.763430231
Ga-Zn,Ga0.815Zn0.185,5.763430231
Ga-Zn,Ga0.902Zn0.098,5.763124637
Ga-Sn-Zn,Ga0.902Sn0.021Zn0.077,5.762462906
Ga-In-Zn,Ga0.896In0.019Zn0.085,5.758828098
Bi-Ag-Cu,Bi0.943Ag0.046Cu0.011,5.754355556
Bi-In-Sb,Bi0.730In0.262Sb0.008,5.748593611
Ga-Sn-Zn,Ga0.797Sn0.171Zn0.032,5.747988355
Ga-Sn-Zn,Ga0.875Sn0.079Zn0.046,5.747893291
Ga-Sn-Ag,Ga0.798Sn0.181Ag0.021,5.746344957
Ga-Zn-Ag,Ga0.802Zn0.184Ag0.014,5.746182863
Ga-In-Zn,Ga0.914In0.011Zn0.075,5.743269637
Ga-In-Zn,Ga0.875In0.053Zn0.072,5.738084103
Bi-In-Cu,Bi0.799In0.168Cu0.033,5.738018611
Ga-In-Zn,Ga0.868In0.045Zn0.087,5.733796218
Ga-Sn-Zn,Ga0.902Sn0.068Zn0.030,5.725180684
Ga-Zn-Ag,Ga0.801Zn0.198Ag0.001,5.724873179
Bi-Zn-Ag,Bi0.927Zn0.028Ag0.045,5.724071389
Ga-Sn-Zn,Ga0.784Sn0.181Zn0.035,5.720334594
Bi-Zn-Sb,Bi0.961Zn0.009Sb0.030,5.717513611
Ga-In-Sb,Ga0.807In0.068Sb0.125,5.71728438
Ga-In-Sb,Ga0.795In0.067Sb0.138,5.709686688
Ga-In-Zn,Ga0.801In0.136Zn0.063,5.70203609
Ga-In-Zn,Ga0.816In0.120Zn0.064,5.698511795
Ga-Sn-Zn,Ga0.843Sn0.059Zn0.098,5.698493141
Ga-In-Zn,Ga0.852In0.063Zn0.085,5.697339808
Ga-In-Zn,Ga0.801In0.028Zn0.171,5.691404205
Ga-In-Zn,Ga0.806In0.103Zn0.091,5.69106141
Ga-In-Zn,Ga0.844In0.073Zn0.083,5.686427073
Ga-Sn-Ag,Ga0.899Sn0.077Ag0.024,5.681780043
Ga-In-Sb,Ga0.813In0.070Sb0.117,5.678400235
Ga-In-Sb,Ga0.803In0.151Sb0.046,5.677729103
Bi-Sb-Cu,Bi0.960Sb0.014Cu0.026,5.676703889
